红楼梦,[清]曹雪芹著,人民文学出版社,9787020002207
活着,余华,作家出版社,9787506365437
百年孤独,[哥伦比亚]加西亚·马尔克斯,南海出版公司,9787544253994
一九八四,[英]乔治·奥威尔,北京十月文艺出版社,9787530210291
飘,[美国]玛格丽特·米切尔,译林出版社,9787806570920
三体全集,刘慈欣,重庆出版社,9787229042066
三国演义（全二册）,罗贯中,人民文学出版社,9787020008728
白夜行,[日本]东野圭吾,南海出版公司,9787544242516
小王子,[法国]安东尼·德·圣-埃克苏佩里,人民文学出版社,9787020042494
福尔摩斯探案全集（上中下）,[英]阿瑟·柯南·道尔,群众出版社,9787501408580
房思琪的初恋乐园,林奕含,北京联合出版公司,9787559614636
动物农场,[英]乔治·奥威尔,上海译文出版社,9787532741854
撒哈拉的故事,三毛,哈尔滨出版社,9787806398791
天龙八部,金庸,生活·读书·新知三联书店,9787108006721
安徒生童话故事集,（丹麦）安徒生,人民文学出版社,9787020017713
平凡的世界（全三部）,路遥,人民文学出版社,9787020049295
围城,钱钟书,人民文学出版社,9787020024759
霍乱时期的爱情,[哥伦比亚]加西亚·马尔克斯,南海出版公司,9787544258975
局外人,[法]阿尔贝·加缪,上海译文出版社,9787532751471
明朝那些事儿（1-9）,当年明月,中国海关出版社,9787801656087
追风筝的人,[美]卡勒德·胡赛尼,上海人民出版社,9787208061644
沉默的大多数,王小波,中国青年出版社,9787500627098
人类简史,[以色列]尤瓦尔·赫拉利,中信出版社,9787508647357
哈利·波特,J.K.罗琳(J.K.Rowling),人民文学出版社,9787020096695
月亮和六便士,[英国]威廉·萨默塞特·毛姆,上海译文出版社,9787532739547
肖申克的救赎,[美]斯蒂芬·金,人民文学出版社,9787020054985
基督山伯爵,大仲马,上海译文出版社,9787532712243
冰与火之歌（卷一）,[美国]乔治·R·R·马丁,重庆出版社,9787536671256
笑傲江湖（全四册）,金庸,生活·读书·新知三联书店,9787108006639
呐喊,鲁迅,人民文学出版社,
嫌疑人X的献身,[日本]东野圭吾,南海出版公司,9787544241694
万历十五年,[美国]黄仁宇,生活·读书·新知三联书店,9787108009821
杀死一只知更鸟,[美国]哈珀·李,译林出版社,9787544722766
东方快车谋杀案,[英]阿加莎·克里斯蒂,人民文学出版社,9787020056309
中国历代政治得失,钱穆,生活·读书·新知三联书店,9787108015280
傲慢与偏见,[英国]简·奥斯汀,人民文学出版社,9787020040179
新名字的故事,[意大利]埃莱娜·费兰特,人民文学出版社,9787020125265
江城,[美国]彼得·海斯勒,上海译文出版社,9787532756728
寻路中国,[美国]彼得·海斯勒,上海译文出版社,9787532752805
失踪的孩子,[意]埃莱娜·费兰特,人民文学出版社,9787020139927
射雕英雄传（全四册）,金庸,生活·读书·新知三联书店,9787108012586
黄金时代,王小波,花城出版社,9787536025080
格林童话全集,[德国]格林兄弟,人民文学出版社,9787020019526
无人生还,[英]阿加莎·克里斯蒂,人民文学出版社,9787020065394
刀锋,[英]毛姆,上海译文出版社,9787532741922
城南旧事,林海音,中国青年出版社,9787500652045
乡土中国,费孝通,上海人民出版社,9787208062153
看见,柴静,广西师范大学出版社,9787549529322
我与地坛,史铁生,春风文艺出版社,9787531324362
历史深处的忧虑,林达,生活·读书·新知三联书店,9787108010186
神雕侠侣,金庸,生活·读书·新知三联书店,9787108006660
白鹿原,陈忠实,人民文学出版社,9787020090297
许三观卖血记,余华,南海出版公司,9787544211765
灿烂千阳,[美]卡勒德·胡赛尼,上海人民出版社,9787208072107
朝花夕拾,鲁迅,人民文学出版社,
哭泣的骆驼,三毛,哈尔滨出版社,9787806399071
悲惨世界（上中下）,[法]维克多·雨果,人民文学出版社,9787020017164
野草,鲁迅,人民文学出版社,
彷徨,鲁迅,人民文学出版社,
史记（全十册）,司马迁,中华书局,9787101003048
窗边的小豆豆,[日]黑柳彻子著,南海出版公司,9787544222976
文学回忆录,木心口述,广西师范大学出版社,9787549530816
浪潮之巅,吴军,电子工业出版社,9787121139512
邓小平时代,[美]傅高义,生活·读书·新知三联书店,9787108041531
我们仨,杨绛,生活·读书·新知三联书店,9787108018809
西游记（全二册）,吴承恩,人民文学出版社,9787020008735
上帝掷骰子吗,曹天元,辽宁教育出版社,9787538276374
树上的男爵,[意]伊塔洛·卡尔维诺,译林出版社,9787544722803
卡拉马佐夫兄弟,[俄]费奥多尔·陀思妥耶夫斯基,上海译文出版社,9787532740086
台北人,白先勇,广西师范大学出版社,9787563397648
爱你就像爱生命,李银河,上海锦绣文章出版社,9787806859988
中国少年儿童百科全书（全四册）,林崇德主编,浙江教育出版社,9787533830953
艺术的故事,[英国]E·H·贡布里希,广西美术出版社,9787807463726
诗经,孔丘,北京出版社,9787200065039
道德经,黄元吉,陕西人民出版社,9787224034813
这些人，那些事,吴念真,译林出版社,9787544717731
飞鸟集,[印度]拉宾德拉纳特·泰戈尔,哈尔滨出版社,9787806992197
悉达多,[德]赫尔曼·黑塞,上海人民出版社,9787208081628
人间词话,王国维,上海古籍出版社,9787532524808
永恒的终结,[美]艾萨克·阿西莫夫,江苏凤凰文艺出版社,9787539957173
边城,沈从文,北岳文艺出版社,9787537823425
教父,[美]马里奥·普佐,译林出版社,9787805674278
基地,[美]艾萨克·阿西莫夫,天地出版社,9787806249420
唐诗三百首,蘅塘退士,中华书局,9787101001105
鹿鼎记（全五册）,金庸,广州出版社花城出版社,9787806553404
巨人的陨落,[英]肯·福莱特,江苏凤凰文艺出版社,9787539989891
罗杰疑案,[英]阿加莎·克里斯蒂,新星出版社,9787513311236
梦里花落知多少,三毛,北京十月文艺出版社,9787530208922
故事新编,鲁迅,人民文学出版社,
海子的诗,海子,人民文学出版社,9787020026456
鼠疫,[法]阿尔贝·加缪,上海译文出版社,9787532761753
看不见的城市,[意]伊塔洛·卡尔维诺,译林出版社,9787544700603
时间简史,[英]史蒂芬·霍金,湖南科学技术出版社,9787535732309
一个陌生女人的来信,[奥]斯蒂芬·茨威格,上海译文出版社,9787532741571
呼兰河传,萧红,百花文艺出版社,9787530640470
斯通纳,[美]约翰·威廉斯,上海人民出版社,9787208130500
解忧杂货店,[日本]东野圭吾,南海出版公司,9787544270878
最好的告别,[美国]阿图·葛文德,浙江人民出版社,9787213067792
人生的枷锁,[英国]威廉·萨默塞特·毛姆,上海译文出版社,9787532741731
一个叫欧维的男人决定去死,[瑞典]弗雷德里克·巴克曼,四川文艺出版社,9787541142185
陆犯焉识,[美国]严歌苓,作家出版社,9787506360876
献给阿尔吉侬的花束,[美]丹尼尔·凯斯,广西师范大学出版社,9787549565115
送你一颗子弹,刘瑜,上海三联书店,9787542631664
目送,龙应台,生活·读书·新知三联书店,9787108032911
史蒂夫·乔布斯传,[美国]沃尔特·艾萨克森,中信出版社,9787508630069
